2025-07-08 06:08:54 install libgpg-error0:amd64 <none> 1.37-1
2025-07-08 06:08:54 status half-installed libgpg-error0:amd64 1.37-1
2025-07-08 06:08:54 status unpacked libgpg-error0:amd64 1.37-1
2025-07-08 06:08:54 install liblz4-1:amd64 <none> 1.9.2-2
2025-07-08 06:08:54 status half-installed liblz4-1:amd64 1.9.2-2
2025-07-08 06:08:54 status unpacked liblz4-1:amd64 1.9.2-2
2025-07-08 06:08:54 install liblzma5:amd64 <none> 5.2.4-1
2025-07-08 06:08:54 status half-installed liblzma5:amd64 5.2.4-1
2025-07-08 06:08:54 status unpacked liblzma5:amd64 5.2.4-1
2025-07-08 06:08:54 install libmount1:amd64 <none> 2.34-0.1ubuntu9
2025-07-08 06:08:54 status half-installed libmount1:amd64 2.34-0.1ubuntu9
2025-07-08 06:08:54 status unpacked libmount1:amd64 2.34-0.1ubuntu9
2025-07-08 06:08:54 install libncurses6:amd64 <none> 6.2-0ubuntu2
2025-07-08 06:08:54 status half-installed libncurses6:amd64 6.2-0ubuntu2
2025-07-08 06:08:54 status unpacked libncurses6:amd64 6.2-0ubuntu2
2025-07-08 06:08:54 install libncursesw6:amd64 <none> 6.2-0ubuntu2
2025-07-08 06:08:54 status half-installed libncursesw6:amd64 6.2-0ubuntu2
2025-07-08 06:08:54 status unpacked libncursesw6:amd64 6.2-0ubuntu2
2025-07-08 06:08:54 install libpam-modules:amd64 <none> 1.3.1-5ubuntu4
2025-07-08 06:08:54 status half-installed libpam-modules:amd64 1.3.1-5ubuntu4
2025-07-08 06:08:54 status unpacked libpam-modules:amd64 1.3.1-5ubuntu4
2025-07-08 06:08:54 install libpam-modules-bin:amd64 <none> 1.3.1-5ubuntu4
2025-07-08 06:08:54 status half-installed libpam-modules-bin:amd64 1.3.1-5ubuntu4
2025-07-08 06:08:54 status unpacked libpam-modules-bin:amd64 1.3.1-5ubuntu4
2025-07-08 06:08:54 install libpam-runtime:all <none> 1.3.1-5ubuntu4
2025-07-08 06:08:54 status half-installed libpam-runtime:all 1.3.1-5ubuntu4
2025-07-08 06:08:54 status unpacked libpam-runtime:all 1.3.1-5ubuntu4
2025-07-08 06:08:54 install libpam0g:amd64 <none> 1.3.1-5ubuntu4
2025-07-08 06:08:54 status half-installed libpam0g:amd64 1.3.1-5ubuntu4
2025-07-08 06:08:54 status unpacked libpam0g:amd64 1.3.1-5ubuntu4
2025-07-08 06:08:54 install libpcre2-8-0:amd64 <none> 10.34-7
2025-07-08 06:08:54 status half-installed libpcre2-8-0:amd64 10.34-7
2025-07-08 06:08:54 status unpacked libpcre2-8-0:amd64 10.34-7
2025-07-08 06:08:54 install libpcre3:amd64 <none> 2:8.39-12build1
2025-07-08 06:08:54 status half-installed libpcre3:amd64 2:8.39-12build1
2025-07-08 06:08:54 status unpacked libpcre3:amd64 2:8.39-12build1
2025-07-08 06:08:54 install libprocps8:amd64 <none> 2:3.3.16-1ubuntu2
2025-07-08 06:08:54 status half-installed libprocps8:amd64 2:3.3.16-1ubuntu2
2025-07-08 06:08:55 status unpacked libprocps8:amd64 2:3.3.16-1ubuntu2
2025-07-08 06:08:55 install libselinux1:amd64 <none> 3.0-1build2
2025-07-08 06:08:55 status half-installed libselinux1:amd64 3.0-1build2
2025-07-08 06:08:55 status unpacked libselinux1:amd64 3.0-1build2
2025-07-08 06:08:55 install libsemanage-common:all <none> 3.0-1build2
2025-07-08 06:08:55 status half-installed libsemanage-common:all 3.0-1build2
2025-07-08 06:08:55 status unpacked libsemanage-common:all 3.0-1build2
2025-07-08 06:08:55 install libsemanage1:amd64 <none> 3.0-1build2
2025-07-08 06:08:55 status half-installed libsemanage1:amd64 3.0-1build2
2025-07-08 06:08:55 status unpacked libsemanage1:amd64 3.0-1build2
2025-07-08 06:08:55 install libsepol1:amd64 <none> 3.0-1
2025-07-08 06:08:55 status half-installed libsepol1:amd64 3.0-1
2025-07-08 06:08:55 status unpacked libsepol1:amd64 3.0-1
2025-07-08 06:08:55 install libsmartcols1:amd64 <none> 2.34-0.1ubuntu9
2025-07-08 06:08:55 status half-installed libsmartcols1:amd64 2.34-0.1ubuntu9
